timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/05/15 14:16:25.958, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 33, 0 %, 0 %, 46068 MiB, 45021 MiB, 465 MiB
2025/05/15 14:16:28.968, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 33, 0 %, 0 %, 46068 MiB, 45021 MiB, 465 MiB
2025/05/15 14:16:31.977, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 33, 0 %, 0 %, 46068 MiB, 45021 MiB, 465 MiB
2025/05/15 14:16:34.986, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 33, 0 %, 0 %, 46068 MiB, 44559 MiB, 926 MiB
2025/05/15 14:16:37.995, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 33, 0 %, 0 %, 46068 MiB, 44559 MiB, 926 MiB
2025/05/15 14:16:41.004, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 33, 0 %, 0 %, 46068 MiB, 44559 MiB, 926 MiB
2025/05/15 14:16:44.013, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 69 %, 0 %, 46068 MiB, 44527 MiB, 958 MiB
2025/05/15 14:16:47.028, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 71 %, 0 %, 46068 MiB, 44015 MiB, 1470 MiB
2025/05/15 14:16:50.036, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 71 %, 0 %, 46068 MiB, 43535 MiB, 1950 MiB
2025/05/15 14:16:53.049, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 68 %, 0 %, 46068 MiB, 43055 MiB, 2430 MiB
2025/05/15 14:16:56.058, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 65 %, 0 %, 46068 MiB, 42575 MiB, 2910 MiB
2025/05/15 14:16:59.066, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 65 %, 0 %, 46068 MiB, 42095 MiB, 3390 MiB
2025/05/15 14:17:02.074, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 67 %, 0 %, 46068 MiB, 41615 MiB, 3870 MiB
2025/05/15 14:17:05.087, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 65 %, 0 %, 46068 MiB, 41167 MiB, 4318 MiB
2025/05/15 14:17:08.101, NVIDIA L40S, 00000000:4A:00.0, 565.57.01, 34, 70 %, 0 %, 46068 MiB, 40687 MiB, 4798 MiB
