timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/05/16 09:54:03.109, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:06.136, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:09.152, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:12.173, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:15.189, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:18.206, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:21.225, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:24.242, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:27.259, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:30.275, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:33.291, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 0 %, 0 %, 81920 MiB, 81156 MiB, 1 MiB
2025/05/16 09:54:36.308, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 38, 3 %, 0 %, 81920 MiB, 80711 MiB, 445 MiB
2025/05/16 09:54:39.326, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 42, 100 %, 59 %, 81920 MiB, 80631 MiB, 525 MiB
2025/05/16 09:54:42.345, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 43, 100 %, 59 %, 81920 MiB, 80631 MiB, 525 MiB
2025/05/16 09:54:45.365, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 43, 100 %, 59 %, 81920 MiB, 80631 MiB, 525 MiB
2025/05/16 09:54:48.382, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 44, 100 %, 59 %, 81920 MiB, 80631 MiB, 525 MiB
2025/05/16 09:54:51.401, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 44, 100 %, 59 %, 81920 MiB, 80631 MiB, 525 MiB
2025/05/16 09:54:54.419, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 42, 0 %, 0 %, 81920 MiB, 80731 MiB, 425 MiB
2025/05/16 09:54:57.435, NVIDIA A100-SXM4-80GB, 00000000:48:00.0, 565.57.01, 41, 0 %, 0 %, 81920 MiB, 80731 MiB, 425 MiB
