Linux 5.14.0-427.42.1.el9_4.x86_64 (tc-gpu004) 	05/16/2025 	_x86_64_	(128 CPU)

09:54:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:54:05 AM  all    0.13    0.00    0.09    0.52    0.01    0.04    0.00    0.00    0.00   99.21
09:54:05 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    2    3.52    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   94.47
09:54:05 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   20    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   22    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:54:05 AM   23    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
09:54:05 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   27    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   51    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   64   12.00    0.00    5.00   67.00    0.50    0.00    0.00    0.00    0.00   15.50
09:54:05 AM   65    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   66    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   68    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   70    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   71    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   72    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   78    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   83    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   87    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   94    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM   96    0.00    0.00    0.00    0.00    0.50    0.50    0.00    0.00    0.00   99.00
09:54:05 AM   97    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:54:05 AM   98    0.00    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   99.49
09:54:05 AM   99    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
09:54:05 AM  100    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  101    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  102    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  103    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  104    0.00    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   99.00
09:54:05 AM  105    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
09:54:05 AM  106    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
09:54:05 AM  107    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
09:54:05 AM  108    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  109    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
09:54:05 AM  110    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00    0.00   99.50
09:54:05 AM  111    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  112    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  113    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  114    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  115    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  116    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  117    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  118    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  119    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  120    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  121    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  122    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  123    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  124    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  125    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  126    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:05 AM  127    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:54:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:54:07 AM  all    0.08    0.00    0.08    0.04    0.01    0.01    0.00    0.00    0.00   99.78
09:54:07 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:54:07 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
