timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/05/16 10:30:07.241, NVIDIA H200, 00000000:19:00.0, 565.57.01, 34, 0 %, 0 %, 143771 MiB, 143183 MiB, 1 MiB
2025/05/16 10:30:10.251, NVIDIA H200, 00000000:19:00.0, 565.57.01, 34, 0 %, 0 %, 143771 MiB, 143183 MiB, 1 MiB
2025/05/16 10:30:13.273, NVIDIA H200, 00000000:19:00.0, 565.57.01, 34, 0 %, 0 %, 143771 MiB, 143183 MiB, 1 MiB
2025/05/16 10:30:16.288, NVIDIA H200, 00000000:19:00.0, 565.57.01, 34, 0 %, 0 %, 143771 MiB, 143183 MiB, 1 MiB
2025/05/16 10:30:19.299, NVIDIA H200, 00000000:19:00.0, 565.57.01, 34, 0 %, 0 %, 143771 MiB, 143180 MiB, 4 MiB
2025/05/16 10:30:22.309, NVIDIA H200, 00000000:19:00.0, 565.57.01, 38, 45 %, 43 %, 143771 MiB, 142556 MiB, 628 MiB
2025/05/16 10:30:25.320, NVIDIA H200, 00000000:19:00.0, 565.57.01, 38, 25 %, 24 %, 143771 MiB, 142556 MiB, 628 MiB
2025/05/16 10:30:28.331, NVIDIA H200, 00000000:19:00.0, 565.57.01, 39, 17 %, 16 %, 143771 MiB, 142556 MiB, 628 MiB
2025/05/16 10:30:31.344, NVIDIA H200, 00000000:19:00.0, 565.57.01, 41, 50 %, 47 %, 143771 MiB, 142556 MiB, 628 MiB
2025/05/16 10:30:34.355, NVIDIA H200, 00000000:19:00.0, 565.57.01, 37, 0 %, 0 %, 143771 MiB, 142746 MiB, 438 MiB
