procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2100595456  10848 2980376    0    0     0     0    0    0  0  0 100  0  0
 1  0      0 2100502528  10848 2980400    0    0     0     0 7056 10793  0  0 99  0  0
 2  0      0 2100399616  10848 2981664    0    0     0     4 10734 18295  1  0 99  0  0
 3  0      0 2100336896  10848 2983076    0    0     0     4 8377 15045  1  0 99  0  0
 6  0      0 2100086272  10848 2983624    0    0     0     0 12745 22340  1  0 99  0  0
 1  0      0 2099812480  10848 2983672    0    0     0     0 4815 10079  1  0 99  0  0
 1  1      0 2099641600  10848 3016440    0    0  1196     0 8888 12012  1  0 98  0  0
 0  0      0 2099299968  10848 3149436    0    0 12686     0 25389 30704  0  0 98  1  0
 2  0      0 2099283840  10848 3159984    0    0     0    22 22664 30097  1  0 99  0  0
 3  0      0 2099044992  10848 3159992    0    0     0     0 16565 20728  1  0 98  0  0
 2  0      0 2099045376  10848 3160004    0    0     0     2 22374 28522  1  0 98  0  0
 1  0      0 2099036800  10848 3161392    0    0     0     0 9982 13653  1  0 98  0  0
 1  0      0 2099037824  10848 3161444    0    0     0   184 2096 1526  2  0 98  0  0
 1  0      0 2099024512  10848 3161836    0    0     0     0 2194 3551  0  0 99  0  0
