procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 292119360   3144 230230400    0    0     0     0    0    0  0  0 100  0  0
 1  0      0 292027264   3144 230230416    0    0     0     0 6794 10541  1  0 99  0  0
 1  0      0 291922720   3144 230231120    0    0     0     0 12561 19919  0  0 99  0  0
 1  0      0 291868384   3144 230233440    0    0     0    44 6337 8354  1  0 99  0  0
 2  0      0 291608672   3144 230235152    0    0     0     0 11264 20924  1  0 98  0  0
 1  0      0 291346496   3144 230235344    0    0     0     2 8822 16414  1  0 99  0  0
 1  0      0 291216736   3144 230235424    0    0     0     0 4365 7409  1  0 99  0  0
 1  0      0 291009280   3144 230243648    0    0     0     0 17763 28551  0  0 99  0  0
 0  0      0 291037440   3144 230243776    0    0     0     0 15050 26234  0  0 100  0  0
 1  0      0 291037792   3144 230243792    0    0     0     0 12686 22660  0  0 100  0  0
 2  0      0 290798176   3144 230243792    0    0     0     2 9867 16974  0  0 99  0  0
 0  0      0 290798176   3144 230243808    0    0     0     0 12259 21735  0  0 100  0  0
