procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 258689792   2352 2428188    0    0     0     0    0    0  0  0 100  0  0
 1  0      0 258601376   2352 2507028    0    0    74     0 6193 8243  0  0 99  1  0
 1  0      0 258503088   2352 2532324    0    0     0    22 5879 8041  0  0 100  0  0
 0  1      0 258416992   2352 2614472    0    0     0     0 5967 6877  0  0 99  1  0
 3  0      0 258253856   2352 2740344    0    0     0     0 7346 10264  0  0 99  0  0
 2  1      0 258150416   2352 2804996    0    0     0     0 8937 12606  0  0 99  0  0
 2  0      0 258079616   2352 2858708    0    0     0     0 4978 6555  0  0 99  0  0
 1  0      0 258100144   2352 2826276    0    0    42     8 6599 8252  0  0 100  0  0
 0  1      0 258069632   2352 2859104    0    0     0     0 3287 3750  0  0 99  1  0
 0  1      0 258045840   2352 2880860    0    0     0     0 2451 2510  0  0 99  1  0
 0  0      0 258045632   2352 2888392    0    0   294     0 2234 2484  0  0 100  0  0
 2  0      0 257997632   2352 2913712    0    0     0     0 9078 12140  0  0 99  0  0
 1  0      0 257953216   2352 2950292    0    0     0     0 6139 7151  0  0 99  0  0
 2  1      0 257940000   2352 2940828    0    0     0     2 6190 7058  0  0 99  0  0
 1  1      0 257917264   2352 2927604    0    0     0     0 9178 13591  0  0 99  0  0
 3  0      0 257691360   2352 2976016    0    0     0    60 12067 19372  0  0 99  0  0
 2  0      0 257598848   2352 3014768    0    0     0     0 7966 11516  0  0 99  0  0
 0  1      0 257549632   2352 3047280    0    0     0     0 7243 10148  0  0 99  1  0
 0  1      0 257318304   2352 3065052    0    0     0     0 5596 9621  0  0 99  0  0
 0  0      0 257222608   2352 3085476    0    0    82     0 4746 7393  0  0 99  0  0
 3  0      0 257113312   2352 3144632    0    0     0     0 6530 8054  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 257088928   2352 3165568    0    0     0     0 9589 15403  0  0 99  0  0
 0  2      0 257104992   2352 3171028    0    0     0   114 11055 18368  0  0 99  0  0
 1  1      0 257100240   2352 3176176    0    0     0     0 9947 17575  0  0 99  0  0
 2  0      0 257095792   2352 3181244    0    0     0     0 10409 18134  0  0 99  0  0
 2  0      0 256925728   2352 3192836    0    0     0     0 10236 14797  0  0 99  0  0
 0  2      0 256816608   2352 3203056    0    0     0     0 10775 16427  0  0 99  0  0
 2  0      0 256807904   2352 3208296    0    0     0     0 10456 17967  0  0 99  0  0
 2  0      0 256807584   2352 3213408    0    0     0    12 10503 18241  0  0 99  0  0
 0  1      0 256798928   2352 3219432    0    0     0     0 8874 15197  0  0 99  0  0
